"Title:","Average Weekly Earnings of All Employees from the State and Metro Area Employment, Hours, and Earnings Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/2007 - 09/2022"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"06/2007",710.15,823.03,671.81,757.42,865.65,597.6,793.73,824.47,730.88,253.12,569.73,850.43,950.91,827,910.49,976.54,723.64,1209.03,1301.63,1100.25,792,368.46,575.05,727.12,792.77,715.86,743.53,857.32,663.93,873.83,870.16,806.4,393.76,585.31,858.42,951.56,844.37,1073.42,886.4,754.02,1083.02,1287.72,1078.88,732.5,472.63,666.77,666.9,746.42,641.61,711.87,761.99,591.64,1043.95,995.6,849.16,619.63,301.32,549.24,606.71,801.23,562.86,867.35,706.05,639.32,668.3,678.66,567.4,216.83,396.9,768.5,942.87,722.3,946.41,929.25,1292.4,977.27,930.67,829.31,316.11,493.64,690.18,785.64,663.66,816.7,772.63,576.64,833.09,748.92,391.76,596.57,877.56,516.43,1060.29,913.99,810.46,836.16,494.13,581.26,691.37,586.47,256.34,456.89
"07/2007",710.15,806.79,677.25,759.09,863.56,600.7,798.49,827.86,727.05,254.67,544.92,872.96,955.58,853.93,920.27,975.54,741.61,1287.44,1335.57,1121.76,826.98,378.95,602.3,741.19,810.43,729.06,765.14,871.89,671.14,861,896.71,819.32,410.7,592.78,867.1,947.27,855.82,1071.28,882.7,745.5,1099.51,1322.46,1104.76,729.19,494.76,670.84,671.62,748.85,648.48,730.75,756.02,595.8,1062.28,1027.97,878.4,596.97,300.74,548.23,622.54,809.95,580.43,924.88,693.16,657.46,743.17,702.68,572.74,224.91,378.72,775.92,946.97,732.51,946.3,915.96,1249.49,1021.01,930.75,826.21,310.25,485.51,697.54,766.13,678.7,811.47,745.47,611.1,828.1,756.63,421.74,608.69,884.3,531.28,1036.22,912.16,822.67,851.09,506.57,588.95,716.39,600.62,257.25,444.8
"08/2007",707.94,823.58,668.5,752.27,861.05,595.22,809.06,831.62,717.84,264.6,563.98,849.11,958.49,824.84,930.16,973.28,722.67,1249.62,1266.74,1077.08,810.33,368.23,578.42,732.51,831.52,715.52,766.6,920.74,654.79,823.25,896.24,800.4,399.03,610.77,857.96,948.02,846.05,1072.71,879.65,744.66,1083.98,1302.77,1074.62,731.73,477.86,671.84,656.47,749.07,626.91,741.34,752.72,575.27,1000.03,986.8,850.66,586.41,296.86,525.85,605.88,820.96,557.42,902.84,718.26,636.48,667.44,663.94,560.9,225.08,318.23,770.43,937.79,725.57,941.06,943.04,1218.9,980.35,930.01,810.54,304.98,494.61,698.16,777.1,676.37,848.88,742.46,605.09,839.88,765.12,418.55,602.86,882.92,523.02,1095.89,920.98,792.38,841.37,503.01,570.75,701.49,586.5,253.18,461.28
"09/2007",712.45,827.33,672.87,753.94,858.99,599.62,822.74,833.75,722.72,259.96,570.72,870.14,973.07,845.6,950.34,982.58,738.71,1289.91,1279.99,1115.18,828.46,375.06,600.71,741.28,816.75,727.64,765.82,885.29,672.86,856.52,916.42,803.43,386.3,638.12,870.44,963.4,858.16,1091.49,893.76,753.3,1113.02,1319.38,1112.06,730.46,485.04,679.06,682.34,756.38,659.32,743.6,762.14,618.74,1069.59,1055.98,885.24,606.9,294.52,532.16,619.6,822.91,572.33,904.34,710.85,636.44,703.62,690.12,588.84,223.05,307.53,775.74,943.74,731.1,910.7,950.18,1232.52,997.83,933.28,808.51,304.29,505.26,723.83,785.66,706.14,818.05,773.3,607.25,886.7,789.34,414.74,605.99,881.76,529.52,1058.66,902.46,790.72,857.14,504.42,591.43,726.53,589.96,250.95,470.58
"10/2007",702.63,819.72,661.9,757,854.85,595.8,785.01,826.94,719.08,262.71,560.2,838.64,961.81,811.78,952.26,966.28,709.88,1261.43,1177.85,1068.38,807.04,359.46,593.42,722.4,810.61,706.91,763.24,873.99,645.69,824.36,879.61,793.28,384.72,640.28,858.08,938.73,846.54,1079.2,864.56,744.45,1097.13,1279.21,1100.4,718.27,491.85,660.96,664.67,743.3,640.89,732.32,747.57,598.06,1009.13,1016.1,847.62,602.12,296.31,516.14,599.72,811.97,551.87,860.52,725.95,614.18,681.02,660.33,570.41,221.88,305.29,758.58,938.3,711.03,948.29,941.48,1179.07,966.34,910.8,790.27,302.84,508.44,711.74,770.76,695.13,801.94,758.47,596.82,853.7,789.87,433.6,603.33,887.69,524.95,1090.27,935.27,823.73,831.6,496.62,559.08,717.44,589.93,252.43,466.96
"11/2007",707.84,827.01,667.29,751.85,857.35,597.96,791.28,823.9,729.79,263.62,560.2,836.47,958.98,812.04,953.52,961.61,699.3,1280.03,1195.63,1060.49,820.33,362.35,580.5,730.05,845.64,710.35,800.38,907.07,642.87,820.55,895.63,807.56,379.07,661.86,860.59,951.05,847.7,1082.64,882.64,741.97,1105.36,1281.26,1100.74,724.45,494.73,661.09,661.65,739.04,639.29,720.89,748.44,605.4,1055.47,917.09,864.16,609.44,289.4,526.26,598.33,793.95,555.83,821.73,701.95,615.33,681.38,664.61,580.32,219,296.36,757.74,943.5,708.26,952.82,948.37,1175.06,974.11,913.31,780.55,305.28,521.57,716.87,772.4,703.4,799.99,762.75,599.42,873.28,809.6,423.43,605.52,886.2,528.54,1086.95,900.8,766.7,869.76,497.72,556.67,718.27,596.07,246.91,485.21
"01/2008",693.72,815.84,650.83,745.76,855.68,597.24,748.09,823.55,700.25,256.67,515.2,809.28,898.58,788.51,821.87,941.82,693.73,1210.79,1160.07,997.86,814.13,365.07,570.24,736.85,834.71,720.65,785.7,894.75,636.64,829.56,1002.93,640.18,378.21,715.81,861.56,946.13,852.1,1088.85,877.44,739.85,1114.12,1288.37,1115.48,723.44,483.44,663.33,659.1,731.81,636.16,706.22,745.85,599.19,1060.13,894.01,860.34,614.08,282.55,523.9,588.3,725.78,559.64,698.6,662.84,622.14,564.84,784.78,586.52,213.36,297.79,755.28,967.45,700.06,875.66,928.38,1103.26,943.98,888.22,777.63,297.44,496.44,708.17,805.82,682.9,827.06,797.02,605,867.35,818.68,361.62,614.25,893.67,538.68,1074.79,900.28,755.06,888.27,502.66,574.77,722.3,609.65,255.2,472.46
"02/2008",699.26,810.57,660.82,749.63,852.38,601.07,744.74,830.7,707.93,259.22,517.08,813.12,902.19,794.97,845.34,957.28,695.87,1215.94,1169.1,1008.77,820.44,368.11,571.39,729.34,817.09,714.14,774.21,870.08,642.1,830.74,886.32,791.16,396.05,707.58,867.85,945,856.13,1085.28,880.88,741.06,1113.95,1311.8,1137.24,716.62,492.24,665.82,659.69,721.37,641.88,726,722.99,611.09,1044.23,992.38,829.02,631.46,297.44,448.76,589.3,726.69,560.87,669.67,679.59,613.36,601.07,775.17,584.35,214.54,302.07,768.77,969.97,715.86,865.57,948.79,1101.28,940.61,912.91,781.61,306.93,512.74,717.24,808.26,695.36,812.54,804.1,617.72,875.31,816.96,382.52,613.18,892.65,540.41,1094.72,910.92,754.81,873.94,507.62,575.81,730.8,603.43,259.16,493.91
"03/2008",703.86,822.53,662.75,754.77,855.68,602.15,765.07,837.52,710.07,262.04,510.35,845.6,934.63,827.16,887.39,979.68,727.18,1264.76,1193.85,1075.78,835.67,380.97,588.65,760.01,866.56,742.44,779.33,906.6,650.63,870.47,896.15,798.42,405.13,733.59,880.48,955.08,870.35,1087.05,896.17,753.68,1144.02,1323.86,1165.65,730.6,496.53,671.41,674.57,744.74,652.74,784.16,726.82,624.78,1113.27,1018.58,846.85,625.36,295.04,477.46,598.84,765.02,564.65,714.91,699.36,624.91,608.65,793.09,583.13,221.98,314.75,787.95,1011.08,730.05,837.37,954.66,1118.84,957.6,933.44,783.51,305.32,527.72,721.05,804.24,700.11,813.14,798.2,616.19,886.32,820.33,369.32,623.4,899.64,549.25,1118.5,920.45,756.39,876.96,520.13,568.79,754.38,601.34,264.38,498.62
"04/2008",696.01,822.2,653.42,764.52,858.99,599.04,763.8,829.99,707.93,263.05,512.62,834.62,939.49,810.95,899.16,970.78,707.92,1227.38,1150.12,1081.24,814.23,376.35,579.56,732.9,813.4,720.68,750.57,879.36,636.61,839.02,889.98,768.48,417.59,766.52,869.89,949.13,858.14,1066.93,891.26,738.48,1148.87,1296.83,1137.01,728.41,497.23,665.27,687.37,741.51,671.42,756.21,738.82,658.56,1071.81,997.8,859.81,663.92,303.1,482.75,598.28,741.63,566.33,694.08,692.98,634.78,605.9,765.56,584.94,221.19,310.17,781.14,971.43,730.09,849.42,965.16,1117.72,947.86,907.56,767.81,303.11,522.18,726.41,808.32,704.7,822.32,801.34,614.27,909.27,816.91,375.03,621.27,905.16,543.08,1134.51,940.34,788.1,863.16,512.44,592.33,728.02,603.75,265.64,477.28
"05/2008",705.54,824.14,665.36,755.46,852.8,607.44,762,836.24,699.9,261.21,510.04,835.38,947.42,813.96,912.35,972.72,718.97,1230.24,1127.67,1080.89,821.18,373.46,572.43,734.65,831.82,718.54,753.11,895.97,634.26,830.79,889.98,796.57,421.65,744.53,868.68,948.65,856.65,1078.92,879.31,743.04,1135.53,1291.08,1139.17,731.79,494.44,665.24,669.04,728.13,652.04,755.82,717.88,630.05,1116.29,991.55,839.79,662.03,286.72,442.46,598.41,778.83,557.77,801.13,697.88,637.39,612.9,762.52,559.1,225.2,323.45,774.32,963.67,723.49,828.36,980.46,1097.54,945,901.43,772.08,303.64,514.1,721.41,801.84,701.49,814.57,786.86,614.04,877.13,812.46,408.88,618.81,882.57,546.95,1115.66,920.57,768.23,836.89,523.6,597.11,700.42,607.96,276.28,489.78
"06/2008",714.8,827.51,677.95,762.01,858.6,611.29,770.89,839.31,710.99,265.8,519.04,858.17,974.86,834.48,951.84,989.82,734.4,1244.05,1179.45,1109.89,838.32,384.66,611.84,754.41,832.11,741.19,752.72,903.54,659.3,879.86,851.97,795.57,409.51,768.48,875.61,955.08,863.94,1086.9,881.92,745.76,1152.3,1301.63,1162.08,731.47,497.64,662.2,689.74,762.97,667.33,818.46,738.7,638.97,1113.02,1043.46,870.61,668.09,290.68,461.07,613.72,752.48,579.73,724.57,699.14,652.05,645.42,750.56,582.81,233.12,336.93,792.24,980.83,742.71,847.1,1003.66,1101.6,966.69,933.62,784.11,308.45,529.54,740.96,806.52,723.67,839.69,781.65,621.3,849.89,823.49,401.22,636.48,935.34,552.57,1175.06,972.29,814.96,890.76,526.18,624.91,714.37,610.05,278.78,512.47
"07/2008",700.92,812,664.47,758.94,854.88,606.12,758.1,831.77,705.43,265.1,508.71,841.93,976.88,813.62,930.7,976.4,714.47,1221.03,1123.3,1082.75,828.82,371.71,588.35,734.55,840.17,718.97,794.12,892.85,651.71,849.85,876.03,804.67,404.35,713.11,866.63,938.37,855.31,1090.62,858.8,738.48,1151.14,1273.05,1142.66,734.8,486.14,660.66,675.62,715.47,663.32,727.61,710.82,695.08,1129.82,943.09,811.5,671.74,281.42,476.14,615.45,805.07,569.28,820.48,703,637.39,620.37,731.15,577.52,231.61,340.53,768.83,974.92,714.5,840.16,989.82,1077.61,939.96,896.43,774.31,298.45,521.85,740.58,804.45,722.64,835.2,783.09,610.98,855.93,840.18,393.82,632.25,921.27,551.48,1113.07,953.47,830.88,877.81,520.61,606.5,704,617.66,281.79,513.38
"08/2008",707.56,823.37,668.82,755.46,852.8,612.02,755.9,839.31,704.9,257.77,514.65,847.96,989.98,815.81,965.45,975.04,722.32,1232.63,1118.07,1075.28,841.17,375.94,598.36,734.99,867.64,715.18,845.21,892.85,635.97,862.84,857.22,787.69,404.13,723.49,874.79,946.13,864.45,1095.28,868.11,739.06,1159.45,1289.08,1157.77,735,505.98,661.26,678.53,740.92,659.17,737.74,745.06,628.6,1160.71,973.54,843.84,696.84,296.7,436,619.84,835.2,567.84,831.3,741.49,630.7,638.02,739.91,572.5,235.3,338.94,765.63,964.75,712.43,806.59,988.55,1087.83,942.75,906.81,759.69,304.29,525.78,738.15,819.63,716.22,868.13,786.67,601.21,870.32,828.96,403.38,635.81,931.25,552.16,1135.22,979.86,858.14,870.69,520.38,588.41,716.36,617.55,286.61,532.78
"09/2008",711.69,832.72,670.89,757.12,849.09,603.95,765.38,843.09,705.43,260.04,495.63,851.67,1005.1,818.41,937.96,989.8,720.12,1243.86,1096.99,1088.49,842.06,368.37,599.23,730.81,863.16,709.92,842.14,874.98,638.69,865.43,842.3,793.09,391.27,715.45,870.23,942.26,860.16,1096.83,864.05,734.51,1173.98,1274.02,1159.54,734.8,504.99,658.66,673.06,721.29,657.64,731.47,717.36,641.55,1111.23,969.39,847.91,655.78,303.67,471.36,631.76,851.6,577.83,842.13,756.1,627.22,647.64,717.17,607.56,226.5,328.3,750.83,931.94,702.31,765.54,969.03,1115.44,931.29,879.83,767.91,296.4,515.84,746.4,825.82,726.28,875.35,793.23,595.74,879.65,854.9,399.08,634.69,944.51,547.06,1182.41,1022.67,899.1,842.34,531.05,574.82,695.55,619.36,277.63,511.03
"10/2008",705.59,830.22,664.36,747.68,844.56,609.61,755.36,863.66,695.41,259.07,495.02,854.07,1009.66,820.08,954.98,990.6,724.42,1209.68,1103.86,1100.16,840.08,370.99,603.68,739.56,859.85,722.06,824.5,875.78,650.67,866.91,854.86,811.54,393.34,690.06,863.43,942.94,851.7,1086.36,867.15,721.05,1169.13,1270.7,1158.3,728.6,494.11,648.83,702.08,745.52,688.48,751.55,744.08,706.81,1009.37,972.92,904.19,665.06,301.2,481.8,615.96,840.69,562.73,812.17,762.78,637.98,644.23,699.89,574.91,221.7,314.03,770.7,982.25,715.52,805.23,990.45,1098.85,949.4,910.78,775.46,307.58,536.27,745.89,819.28,725.45,868.6,787.13,594.33,866.17,861.21,416,637.95,946.35,548.91,1214.58,1033.11,890.01,828.4,550.14,603.32,738.48,600.65,279.56,531.06
"11/2008",713.64,832.08,676.05,745.05,841.69,603.59,757.56,876.38,698.64,259.29,517.13,878.35,1030.34,844.66,980.62,1012.93,730.71,1235.34,1132.45,1155.34,868.02,379.85,626.31,748.7,836.92,736.33,804.86,864.43,667.6,914.06,856.58,821.22,397.54,682.76,877.57,958.5,865.42,1108.38,877.06,727.69,1196.3,1295.8,1187.84,739.54,498.45,653.7,720.36,746.88,712.76,738.54,753.87,705.29,1072.37,1068.96,965.88,674.7,305.05,485.5,614.38,780.75,576.6,726.14,726.31,648.23,637.17,720.06,587.43,224.03,321.78,779.32,955.98,734.3,808.15,956.1,1130.53,975.21,928.56,784.2,314.9,556.3,754.63,816.38,738.37,854.63,790.83,597.63,905.98,871.52,394.94,638.12,964.46,545.45,1259.03,1035.5,856.7,867.79,539.49,613.62,724.91,635.95,278.3,563.4
"01/2009",689.74,800.26,655.47,740.36,840.46,606.48,748.14,876.38,684.82,251.74,486,859.2,1036.76,823.2,956.73,1024.86,721.06,1210.88,1119.82,1095.63,849.92,369.24,623.02,746.74,867.13,728.12,842.22,890.35,658.09,951.28,828.24,806.77,386.68,701.08,862.85,937.66,853.24,1104.66,853.3,720.44,1175.12,1252.57,1165.5,738.47,471.56,647.63,700.9,741,689,753.5,739.05,697.54,1002.5,969,927.42,659.21,291.55,480.15,603.19,757.91,571.91,667.12,695.95,623.92,670.85,702.28,594.86,214.02,318.71,754.73,932.15,708.51,800.22,928.26,1061.76,957.1,894.76,758.99,305.08,544.46,734.51,800.36,718.28,859.4,784.15,612.27,816.07,873.84,358.4,623.01,932.18,540.76,1192.77,1001.2,809.57,850.52,535.92,605.4,692.17,626.77,276.08,528.78
